species_id,scientific_name,Genus,Family,Order
SP001,"specebatei (Stebbing, 1876)",Apolochus,Amphilochidae,Amphipoda
SP002,rivulus sp. nov.,Cerapus,Ischyroceridae,Amphipoda
SP003,"madrasensis (Nayar, 1950)",Chelicorophium,Corophidae,Amphipoda
SP004,"gilesi Chilton, 1921",Grandidierella,Aoridae,Amphipoda
SP005,"gravipes K.H. Barnard, 1935",Grandidierella,Aoridae,Amphipoda
SP006,"japonica Stephensen, 1938",Grandidierella,Aoridae,Amphipoda
SP007,"appendiculata Ariyama, Angsupanich & Rodcharoen, 2010",Kamaka,Kamakidae,Amphipoda
SP008,"songkhlaensis Ariyama, Angsupanich & Rodcharoen, 2010",Kamaka,Kamakidae,Amphipoda
SP009,"setiflagella Yamato, 1988",Melita,Melitidae,Amphipoda
SP010,"meridichinensis Hirayama, 1992",Perioculodes,Oedicerotidae,Amphipoda
SP011,"chikensis (Chilton, 1921)",Victoriopisa,Eriopisidae,Amphipoda
