trait_id,segment,character,state_options,description
T01a,antenna_1,length,"elongate, short, moderate",
T01b,antenna_1,width,"narrowing distally, broadening distally, subequal",
T01c,antenna_1,shape,"proximal spine, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, strongly setose, triangle, shorter than relative species, longer than relative species, oviod lamella appendix peduncle",
T01d,peduncle,length,"elongate, short, moderate",
T01e,peduncle,width,"slender, robust, stout, cyclindrical, swollen, swelled, compressed, depressed, expanded",
T01f,accessory_flagellum,shape,"present, absent",
T01g,accessory_flagellum,length,"elongate, short, moderate",
T02a,antenna_2,length,"elongate, short, moderate",
T02b,antenna_2,width,"narrowing distally, broadening distally, subequal",
T02c,antenna_2,shape,"proximal spine, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, strongly setose, triangle, shorter than relative species, longer than relative species, oviod lamella appendix peduncle",
T02d,peduncle,length,"elongate, short, moderate",
T02e,peduncle,shape,"swelled, normal",
T02f,peduncle,setae,"strongly_setose, hairy, bare",
T02g,proximal,shape,"present, absent",
T02h,peduncle_vs_antenna1,shape,"as_long_as_antenna1, shorter, longer",
T03a,antennal_sinus_notch,length,"elongate, short, moderate",
T03b,antennal_sinus_notch,shape,"present, absent",
T04,compound_eye,shape,"reniform, ovate, fused, divided with corneal lens, black and brown, cirlce form, elavate form, lacking eyes",
T05,rostrum,shape,"elongate, short, moderate, acute, falcate, decurved, hooded",
T06,upper_lip,shape,"rounded, broad, bilobed ",
T07,mandible,shape,"molar strong, molar triturating, molar vestigial, palp strong and falcate, palp lacking, palp small, triturative",
T08,maxilla_1,shape,"palp vestigial, basal baler lobe large",
T09,maxilla_2,shape,"plates small and weekly armed, outer plate large and lunate",
T10,maxiliped,shape,"inner plates fused and palp dactylate, palp geniculate",
T11,lower_lip,shape,"shoulders notched, inner lobes lacking,mandibular process lacking, mandibular process elongate",
T12a,gnathopod_1,shape,"simple and normal, filiform, subchelate powerful, subchelate and weak, complexly subchelate, carpochelate, chelate, minutely subchelate, minutely chelate, larger than gnathopod 2, smaller than gnathopod 2, samilar gnathopod 2",
T12b,gnathopod_1,length,"elongate, short, moderate",
T12c,basis,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T12d,ischium,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T12e,merus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
